2025/11/26 16:41:14 [2]: Started logging
2025/11/26 16:41:14 Frontend: gRPC server now listening on 5002... at logical time: 0 
2025/11/26 16:41:14 Backend: gRPC server now listening on 5012... at logical time: 0 
2025/11/26 16:41:14 [Node 2] Advertised on network (port 5012) as leader? false
2025/11/26 16:41:14 [Node 2] Advertised frontend on network (port 5002)
2025/11/26 16:46:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:46:43 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:46:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:46:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:46:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:32 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:53 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:53 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:47:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:01 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:13 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:13 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:35 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:55 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:48:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:08 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:19 [Node 2] Node 1 timed out (last seen 2025-11-26 16:49:08.2337225 +0100 CET m=+474.058207201)
2025/11/26 16:49:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:19 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:49:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:39 [Node 2] Node 1 timed out (last seen 2025-11-26 16:49:29.1318909 +0100 CET m=+494.956375601)
2025/11/26 16:49:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:39 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:49:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:52 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:49:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:11 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:26 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:30 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:50:59 [Node 2] Node 1 timed out (last seen 2025-11-26 16:50:44.7699681 +0100 CET m=+570.594452801)
2025/11/26 16:51:03 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:03 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:51:03 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:08 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:12 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:23 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:27 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:33 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:39 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:54 [Node 2] Node 1 timed out (last seen 2025-11-26 16:51:44.2829112 +0100 CET m=+630.107395901)
2025/11/26 16:51:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:51:54 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:51:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:19 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:52:54 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:09 [Node 2] Node 1 timed out (last seen 2025-11-26 16:52:54.6712197 +0100 CET m=+700.495704401)
2025/11/26 16:53:09 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:09 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:53:12 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:14 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:18 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:29 [Node 2] Node 1 timed out (last seen 2025-11-26 16:53:18.7896086 +0100 CET m=+724.614093301)
2025/11/26 16:53:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:29 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:53:33 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:44 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:49 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:50 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:53:59 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:04 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:08 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:12 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:24 [Node 2] Node 1 timed out (last seen 2025-11-26 16:54:12.9878737 +0100 CET m=+778.812358401)
2025/11/26 16:54:24 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:24 [Node 2] Leader still alive 1 (192.168.2.75:5011)
2025/11/26 16:54:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:29 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
2025/11/26 16:54:34 [Node 2] Discovered server node: 1 (192.168.2.75:5011) leader=true
